App,Package,Start Time,Duration,Filename,,,,,,,,,,,,,,,,,,,,,
System,,"Sep 7, 2016 @ 02:35:23 AM",1 min 2 sec,Sequential.db,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Time  [ms],Battery Status,Time  [ms],Screen Brightness,Time  [ms],Battery Power* [uW],Time  [ms],GPU Frequency [KHz],Time  [ms],GPU Load [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU1 Load [%],Time  [ms],CPU2 Load [%],Time  [ms],CPU3 Load [%],Time  [ms],CPU4 Load [%]
8703,1,8801,1,8801,1677928,8801,320000,8802,0,8798,1958400,8799,1958400,8800,0,8801,0,8799,45,8800,100,8801,0,8801,0
8801,1,8901,1,8901,1284966,8902,320000,8902,0,8898,1958400,8900,1958400,8901,0,8901,0,8899,11,8900,100,8901,0,8901,0
8902,1,9003,1,9005,1181959,9006,320000,9015,0,8999,960000,9001,1958400,9002,0,9004,0,9001,11,9002,100,9003,0,9005,0
9005,1,9102,1,9103,1373208,9103,320000,9104,0,9099,1190400,9101,1958400,9102,0,9103,0,9100,58,9101,100,9102,0,9103,0
9103,1,9204,1,9205,1238988,9205,320000,9206,0,9199,960000,9202,1958400,9203,0,9204,0,9201,37,9203,100,9204,0,9205,0
9205,1,9302,1,9302,1469890,9303,320000,9304,0,9300,1958400,9301,1958400,9302,0,9302,0,9300,27,9301,100,9302,0,9302,0
9303,1,9405,1,9406,1256535,9406,320000,9407,0,9400,960000,9402,1958400,9404,0,9405,0,9401,45,9403,100,9404,0,9405,0
9406,1,9504,1,9505,1217054,9505,320000,9506,0,9500,960000,9502,1958400,9504,0,9504,0,9502,27,9503,100,9504,0,9505,0
9505,1,9603,1,9603,1585466,9604,320000,9604,0,9600,1958400,9602,1958400,9603,0,9603,0,9601,37,9602,100,9603,0,9603,0
9603,1,9704,1,9705,1135090,9705,320000,9706,0,9701,1190400,9702,1958400,9704,0,9705,0,9702,25,9703,90,9704,0,9705,0
9705,1,9804,1,9805,1206087,9805,320000,9806,0,9801,960000,9802,1958400,9803,0,9804,0,9802,22,9803,100,9804,0,9805,0
9805,1,9905,1,9906,1423659,9907,320000,9908,0,9901,1958400,9903,1958400,9905,0,9906,0,9902,100,9904,23,9905,0,9906,0
9907,1,10006,1,10008,1179766,10009,320000,10009,0,10002,1958400,10004,960000,10006,0,10007,0,10003,100,10005,10,10006,0,10007,0
10008,1,10105,1,10105,1504563,10105,320000,10106,0,10102,1958400,10103,1958400,10104,0,10105,0,10103,30,10104,100,10104,0,10105,0
10105,1,10205,1,10205,1319640,10206,320000,10206,0,10202,1958400,10203,1958400,10204,0,10205,0,10203,60,10204,54,10205,0,10205,0
10205,1,10307,1,10308,1201700,10308,320000,10309,0,10303,1958400,10304,960000,10306,0,10307,0,10304,100,10306,20,10307,0,10307,0
10308,1,10407,1,10408,1201700,10408,320000,10409,0,10403,1958400,10405,960000,10406,0,10407,0,10404,100,10406,20,10407,0,10408,0
10408,1,10509,1,10510,1179766,10510,320000,10511,0,10504,1958400,10506,960000,10508,0,10509,0,10505,100,10507,10,10508,0,10509,0
10510,1,10606,1,10607,1331197,10607,320000,10607,0,10604,1958400,10605,1958400,10606,0,10606,0,10605,60,10605,55,10606,0,10606,0
10607,1,10707,1,10707,1145537,10708,320000,10708,0,10704,1958400,10705,1497600,10706,0,10707,0,10705,77,10706,40,10707,0,10707,0
10707,1,10810,1,10812,1157832,10812,320000,10813,0,10805,1958400,10807,960000,10809,0,10811,0,10806,100,10808,0,10810,0,10811,0
10812,1,10909,1,10910,1245568,10910,320000,10911,0,10905,1958400,10907,960000,10908,0,10909,0,10906,100,10908,40,10909,0,10910,0
10910,1,11012,1,11017,1206087,11019,320000,11020,0,11005,1958400,11007,960000,11011,0,11016,0,11007,100,11010,22,11011,0,11017,0
11017,1,11108,1,11109,1573909,11109,320000,11109,0,11105,1958400,11106,1958400,11108,0,11108,0,11106,100,11107,36,11108,0,11109,0
11109,1,11208,1,11209,1666370,11209,320000,11209,0,11206,1958400,11207,1958400,11208,0,11208,0,11207,100,11208,44,11208,0,11209,0
11209,1,11314,1,11316,1201700,11318,320000,11319,0,11306,1958400,11308,960000,11312,0,11315,0,11308,100,11310,20,11313,0,11315,0
11316,1,11409,1,11411,1284966,11411,320000,11412,0,11406,1958400,11408,1958400,11409,0,11410,0,11407,100,11408,11,11409,0,11410,0
11411,1,11509,1,11510,1412101,11510,320000,11510,0,11506,1958400,11508,1958400,11509,0,11509,0,11507,100,11509,22,11509,0,11510,0
11510,1,11609,1,11610,1446774,11610,320000,11611,0,11607,1958400,11608,1958400,11609,0,11610,0,11608,25,11609,100,11609,0,11610,0
11610,1,11710,1,11711,858175,11711,320000,11711,0,11707,1497600,11709,1728000,11710,0,11710,0,11708,66,11709,50,11710,0,11711,0
11711,1,11810,1,11811,1230214,11811,320000,11811,0,11808,960000,11809,1958400,11810,0,11810,0,11808,33,11809,100,11810,0,11811,0
11811,1,11911,1,11911,1230214,11912,320000,11912,0,11908,960000,11909,1958400,11910,0,11911,0,11909,33,11910,100,11911,0,11911,0
11911,1,12011,1,12012,1212667,12012,320000,12013,0,12008,960000,12009,1958400,12010,0,12011,0,12009,25,12010,100,12011,0,12011,0
12012,1,12111,1,12112,1245568,12112,320000,12113,0,12109,960000,12110,1958400,12111,0,12111,0,12110,40,12111,100,12111,0,12112,0
12112,1,12212,1,12212,1388986,12213,320000,12213,0,12209,1958400,12210,1958400,12211,0,12212,0,12210,20,12211,100,12212,0,12212,0
12212,1,12312,1,12312,827128,12313,320000,12313,0,12309,960000,12310,1958400,12311,0,12312,0,12310,60,12311,60,12312,0,12312,0
12312,1,12412,1,12413,1388986,12413,320000,12414,0,12410,1958400,12411,1958400,12412,0,12412,0,12410,100,12412,20,12412,0,12413,0
12413,1,12512,1,12513,1273409,12516,320000,12517,0,12510,1958400,12511,1958400,12512,0,12513,0,12511,100,12512,10,12512,0,12513,0
12515,1,12613,1,12614,1539236,12614,320000,12615,0,12610,1958400,12611,1958400,12612,0,12613,0,12611,100,12612,33,12613,0,12613,0
12614,1,12713,1,12714,1412101,12714,320000,12715,0,12711,1958400,12712,1958400,12713,0,12713,0,12711,22,12712,100,12713,0,12714,0
12714,1,12814,1,12815,1539236,12816,320000,12816,0,12811,1958400,12812,1958400,12814,0,12815,0,12812,100,12813,33,12814,0,12815,0
12815,1,12916,1,12917,1205664,12918,320000,12918,0,12912,1958400,12913,1036800,12915,0,12916,0,12913,100,12914,18,12915,0,12917,0
12917,1,13017,1,13018,1247761,13019,320000,13020,0,13012,1958400,13014,960000,13016,0,13017,0,13014,100,13015,41,13016,0,13018,0
13018,1,13125,1,13127,1197313,13128,320000,13130,0,13114,1958400,13118,960000,13122,0,13125,0,13116,100,13121,18,13123,0,13126,0
13127,1,13215,1,13216,1781947,13216,320000,13216,0,13212,1958400,13214,1958400,13215,0,13215,0,13213,100,13215,54,13215,0,13216,0
13216,1,13316,1,13316,1595617,13316,320000,13317,0,13313,1958400,13314,1728000,13315,0,13316,0,13314,100,13315,50,13315,0,13316,0
13316,1,13417,1,13418,1245568,13418,320000,13419,0,13413,1958400,13415,960000,13417,0,13418,0,13415,100,13416,40,13417,0,13418,0
13418,1,13516,1,13516,1573909,13517,320000,13517,0,13513,1958400,13515,1958400,13516,0,13516,0,13514,100,13515,36,13516,0,13516,0
13517,1,13618,1,13618,1217054,13619,320000,13619,0,13614,1958400,13616,960000,13617,0,13618,0,13615,100,13617,27,13617,0,13618,0
13618,1,13721,1,13724,1184153,13726,320000,13727,0,13714,1958400,13716,960000,13718,0,13722,0,13716,100,13718,12,13719,0,13724,0
13724,1,13817,1,13817,1735716,13818,320000,13818,0,13814,1958400,13816,1958400,13817,0,13817,0,13815,100,13816,50,13817,0,13817,0
13818,1,13918,1,13919,1264125,13920,320000,13920,0,13915,1958400,13916,1036800,13918,0,13919,0,13916,100,13918,40,13918,0,13919,0
13919,1,14026,1,14027,1181959,14028,320000,14029,0,14015,1958400,14019,960000,14022,0,14026,0,14017,100,14021,11,14023,0,14027,0
14027,1,14118,1,14119,1296524,14120,320000,14120,0,14115,1958400,14117,1958400,14118,0,14119,0,14116,100,14117,12,14118,0,14119,0
14119,1,14220,1,14220,1217054,14221,320000,14221,0,14216,1958400,14218,960000,14219,0,14220,0,14217,100,14219,27,14219,0,14220,0
14220,1,14320,1,14321,1179766,14321,320000,14322,0,14316,1958400,14318,960000,14319,0,14320,0,14318,100,14319,10,14320,0,14320,0
14321,1,14419,1,14420,1793505,14420,320000,14421,0,14417,1958400,14418,1958400,14419,0,14420,0,14418,55,14419,100,14419,0,14420,0
14420,1,14520,1,14520,1446770,14520,320000,14521,0,14517,1728000,14518,1958400,14519,0,14520,0,14518,33,14519,100,14519,0,14520,0
14520,1,14620,1,14620,1201700,14621,320000,14621,0,14617,960000,14618,1958400,14619,0,14620,0,14618,20,14619,100,14620,0,14620,0
14620,1,14720,1,14721,1504563,14721,320000,14721,0,14718,1958400,14719,1958400,14720,0,14720,0,14718,30,14720,100,14720,0,14721,0
14721,1,14820,1,14821,1469890,14821,320000,14822,0,14818,1958400,14819,1958400,14820,0,14821,0,14819,27,14820,100,14820,0,14821,0
14821,1,14921,1,14922,1197313,14922,320000,14923,0,14918,960000,14919,1958400,14920,0,14921,0,14919,18,14920,100,14921,0,14922,0
14922,1,15021,1,15022,1966870,15022,320000,15022,0,15018,1958400,15020,1958400,15021,0,15021,0,15019,70,15021,100,15021,0,15022,0
15022,1,15122,1,15123,1157832,15123,320000,15124,0,15119,1958400,15120,1958400,15121,0,15122,0,15120,100,15121,0,15122,0,15122,0
15123,1,15223,1,15224,1221215,15225,320000,15226,0,15219,1958400,15221,1497600,15222,0,15223,0,15220,100,15222,10,15222,0,15224,0
15224,1,15324,1,15326,1181959,15326,320000,15327,0,15320,1958400,15322,960000,15324,0,15325,0,15321,100,15323,11,15324,0,15325,0
15326,1,15424,1,15425,1223634,15426,320000,15427,0,15420,1958400,15421,960000,15423,0,15424,0,15421,100,15422,30,15424,0,15425,0
15425,1,15522,1,15523,1666370,15523,320000,15523,0,15520,1958400,15521,1958400,15522,0,15522,0,15521,100,15522,44,15522,0,15523,0
15523,1,15623,1,15623,1388986,15623,320000,15624,0,15620,1958400,15621,1958400,15622,0,15623,0,15621,100,15622,20,15622,0,15623,0
15623,1,15723,1,15724,1388986,15724,320000,15725,0,15720,1958400,15722,1958400,15722,0,15723,0,15721,100,15722,20,15723,0,15724,0
15724,1,15825,1,15825,1217054,15826,320000,15826,0,15821,1958400,15823,960000,15824,0,15825,0,15822,100,15824,27,15824,0,15825,0
15825,1,15925,1,15926,1217054,15927,320000,15927,0,15921,1958400,15923,960000,15925,0,15926,0,15923,100,15924,27,15925,0,15926,0
15926,1,16024,1,16024,1388986,16025,320000,16025,0,16021,1958400,16022,1958400,16023,0,16024,0,16022,100,16023,20,16024,0,16024,0
16024,1,16126,1,16126,1276276,16127,320000,16127,0,16122,1958400,16124,960000,16125,0,16126,0,16123,100,16125,54,16125,0,16126,0
16126,1,16225,1,16226,1342755,16226,320000,16227,0,16222,1958400,16223,1958400,16224,0,16225,0,16223,36,16224,80,16225,0,16225,0
16226,1,16325,1,16325,1157832,16326,320000,16326,0,16322,1267200,16323,1958400,16324,0,16325,0,16323,0,16324,100,16325,0,16325,0
16325,1,16425,1,16426,1400543,16426,320000,16426,0,16423,1958400,16424,1958400,16425,0,16425,0,16423,44,16424,77,16425,0,16426,0
16426,1,16527,1,16528,1226720,16529,320000,16529,0,16523,1958400,16524,1267200,16526,0,16527,0,16524,100,16526,16,16526,0,16528,0
16528,1,16627,1,16628,1245568,16628,320000,16629,0,16623,1958400,16625,960000,16626,0,16627,0,16625,100,16626,40,16627,0,16628,0
16628,1,16727,1,16728,955866,16729,320000,16729,0,16724,1958400,16725,960000,16727,0,16728,0,16725,70,16726,66,16727,0,16728,0
16728,1,16828,1,16829,906599,16829,320000,16830,0,16824,1958400,16826,960000,16827,0,16828,0,16825,72,16827,33,16828,0,16829,0
16829,1,16927,1,16927,1198679,16927,320000,16928,0,16924,1190400,16925,1958400,16926,0,16927,0,16925,11,16926,100,16926,0,16927,0
16927,1,17027,1,17027,1388986,17028,320000,17028,0,17024,1958400,17026,1958400,17026,0,17027,0,17025,20,17026,100,17027,0,17027,0
17027,1,17127,1,17128,1201700,17128,320000,17128,0,17125,960000,17126,1958400,17127,0,17127,0,17126,20,17126,100,17127,0,17128,0
17128,1,17227,1,17228,1254342,17228,320000,17229,0,17225,960000,17226,1958400,17227,0,17228,0,17226,44,17227,100,17227,0,17228,0
17228,1,17328,1,17328,1620140,17329,320000,17329,0,17325,1958400,17326,1958400,17327,0,17328,0,17326,90,17327,50,17328,0,17328,0
17328,1,17428,1,17428,1157832,17429,320000,17429,0,17425,1958400,17427,1958400,17427,0,17428,0,17426,100,17427,0,17428,0,17428,0
17428,1,17530,1,17531,1217054,17531,320000,17532,0,17526,1958400,17528,960000,17529,0,17530,0,17527,100,17529,27,17530,0,17531,0
17531,1,17629,1,17629,1388986,17629,320000,17630,0,17626,1958400,17627,1958400,17628,0,17629,0,17627,100,17628,20,17628,0,17629,0
